,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
0,0.28,VS1,G,None,Good,Jul 6,Jul 7,59.1,./diamond-details/LD05670060,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD05670060,None,False,1.01,Good,500,"$1,786",RD,Call,Call,[u'LD05670060'],Very Good,59.0
1,0.33,SI1,E,None,Good,Jul 12,Jul 13,65.0,./diamond-details/LD06485086,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06485086,None,False,1.00,Good,500,"$1,515",RD,Call,Call,[u'LD06485086'],Very Good,58.0
2,0.28,VS1,E,None,Good,Jul 12,Jul 13,60.8,./diamond-details/LD06933317,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06933317,Faint,True,1.00,Very Good,500,"$1,786",RD,Call,Call,[u'LD06933317'],Very Good,56.0
3,0.28,VS2,D,None,Good,Jul 12,Jul 13,63.9,./diamond-details/LD06933319,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06933319,Faint,True,1.01,Very Good,500,"$1,786",RD,Call,Call,[u'LD06933319'],Very Good,62.0
4,0.31,SI2,D,None,Ideal,Jul 18,Jul 19,62.6,./diamond-details/LD07314738,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07314738,Faint,False,1.00,Excellent,500,"$1,613",RD,Call,Call,[u'LD07314738'],Excellent,56.0
5,0.31,SI1,I,None,Ideal,Jul 7,Jul 10,61.6,./diamond-details/LD07787857,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07787857,Strong Blue,False,1.00,Excellent,500,"$1,613",RD,Call,Call,[u'LD07787857'],Excellent,55.0
6,0.30,VS1,J,None,Very Good,Jul 7,Jul 10,61.7,./diamond-details/LD07909808,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07909808,None,False,1.00,Good,500,"$1,667",RD,Call,Call,[u'LD07909808'],Very Good,57.0
7,0.30,SI1,I,None,Ideal,Jul 12,Jul 13,61.5,./diamond-details/LD08106059,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08106059,None,False,1.01,Very Good,500,"$1,667",RD,Call,Call,[u'LD08106059'],Excellent,58.0
8,0.30,VS2,I,None,Ideal,Jul 12,Jul 13,62.2,./diamond-details/LD08178168,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08178168,Faint,False,1.00,Excellent,500,"$1,667",RD,Call,Call,[u'LD08178168'],Excellent,56.0
9,0.30,SI2,E,None,Ideal,Jul 10,Jul 11,60.2,./diamond-details/LD08293275,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08293275,None,False,1.00,Excellent,500,"$1,667",RD,Call,Call,[u'LD08293275'],Excellent,59.0
10,0.30,SI2,E,None,Very Good,Jul 12,Jul 13,64.3,./diamond-details/LD08296272,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08296272,None,False,1.00,Very Good,500,"$1,667",RD,Call,Call,[u'LD08296272'],Excellent,57.0
11,0.30,SI2,E,None,Very Good,Jul 12,Jul 13,62.6,./diamond-details/LD08296273,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08296273,None,False,1.00,Very Good,500,"$1,667",RD,Call,Call,[u'LD08296273'],Excellent,60.0
12,0.37,SI1,J,None,Good,Jul 12,Jul 13,64.8,./diamond-details/LD08301075,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08301075,None,False,1.02,Very Good,500,"$1,351",RD,Call,Call,[u'LD08301075'],Very Good,58.0
13,0.37,SI1,J,Small,Good,Jul 12,Jul 13,63.5,./diamond-details/LD08314410,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08314410,None,False,1.00,Excellent,500,"$1,351",RD,Call,Call,[u'LD08314410'],Very Good,59.0
14,0.30,SI1,I,None,Ideal,Jul 12,Jul 13,62.2,./diamond-details/LD08435227,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08435227,None,False,1.00,Excellent,500,"$1,667",RD,Call,Call,[u'LD08435227'],Excellent,56.0
15,0.32,VVS2,I,None,Ideal,Jul 13,Jul 14,62.1,./diamond-details/LD08443851,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08443851,Faint,False,1.00,Excellent,500,"$1,562",RD,Call,Call,[u'LD08443851'],Excellent,55.0
16,0.31,SI1,I,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08447715,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08447715,None,False,1.01,Excellent,500,"$1,613",RD,Call,Call,[u'LD08447715'],Very Good,56.0
