,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,fluorescence,hasVisualization,id,lxwRatio,measurements,myPickSelected,polish,price,pricePerCarat,shapeCode,shapeName,shipsInDays,shipsInDaysSet,skus,symmetry,table
0,[u'0.62'],[u'VVS2'],[u'E'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Jan 31'],[u'Feb 1'],[u'59.8'],./diamond-details/LD01840940,[u'Faint'],[False],LD01840940,[u'1.00'],"[{u'labelSmall': u'5.51 x 5.53 x 3.30', u'label': u'5.51 x 5.53 x 3.30 mm'}]",False,[u'Good'],2800,"[u'$4,516']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD01840940'],[u'Very Good'],[u'62.0']
1,[u'0.70'],[u'VVS2'],[u'D'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Feb 5'],[u'Feb 6'],[u'64.7'],./diamond-details/LD08008506,[u'None'],[False],LD08008506,[u'1.01'],"[{u'labelSmall': u'5.55 x 5.49 x 3.57', u'label': u'5.55 x 5.49 x 3.57 mm'}]",False,[u'Excellent'],2800,"[u'$4,000']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD08008506'],[u'Very Good'],[u'56.0']
2,[u'0.70'],[u'VVS2'],[u'E'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Feb 5'],[u'Feb 6'],[u'63.8'],./diamond-details/LD08394350,[u'None'],[True],LD08394350,[u'1.00'],"[{u'labelSmall': u'5.58 x 5.60 x 3.56', u'label': u'5.58 x 5.60 x 3.56 mm'}]",False,[u'Excellent'],2800,"[u'$4,000']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD08394350'],[u'Excellent'],[u'61.0']
3,[u'0.80'],[u'SI1'],[u'G'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Feb 5'],[u'Feb 6'],[u'63.6'],./diamond-details/LD08744779,[u'None'],[True],LD08744779,[u'1.01'],"[{u'labelSmall': u'5.90 x 5.87 x 3.74', u'label': u'5.90 x 5.87 x 3.74 mm'}]",False,[u'Excellent'],2800,"[u'$3,500']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD08744779'],[u'Very Good'],[u'58.0']
4,[u'0.80'],[u'SI1'],[u'G'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Feb 5'],[u'Feb 6'],[u'64.7'],./diamond-details/LD09079294,[u'None'],[True],LD09079294,[u'1.01'],"[{u'labelSmall': u'5.82 x 5.76 x 3.75', u'label': u'5.82 x 5.76 x 3.75 mm'}]",False,[u'Very Good'],2800,"[u'$3,500']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09079294'],[u'Very Good'],[u'58.0']
5,[u'0.80'],[u'SI1'],[u'F'],[u'None'],"[{u'labelSmall': u'Ideal', u'label': u'Ideal'}]",[u'Jan 29'],[u'Jan 30'],[u'62.9'],./diamond-details/LD09157971,[u'Strong'],[True],LD09157971,[u'1.01'],"[{u'labelSmall': u'5.90 x 5.93 x 3.72', u'label': u'5.90 x 5.93 x 3.72 mm'}]",False,[u'Excellent'],2800,"[u'$3,500']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09157971'],[u'Excellent'],[u'56.0']
6,[u'0.80'],[u'SI1'],[u'G'],[u'None'],"[{u'labelSmall': u'Ideal', u'label': u'Ideal'}]",[u'Feb 5'],[u'Feb 6'],[u'60.9'],./diamond-details/LD09317543,[u'None'],[True],LD09317543,[u'1.01'],"[{u'labelSmall': u'6.00 x 5.97 x 3.65', u'label': u'6.00 x 5.97 x 3.65 mm'}]",False,[u'Excellent'],2800,"[u'$3,500']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09317543'],[u'Very Good'],[u'59.0']
7,[u'0.91'],[u'VS1'],[u'J'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Feb 5'],[u'Feb 6'],[u'64.3'],./diamond-details/LD09461864,[u'None'],[True],LD09461864,[u'1.01'],"[{u'labelSmall': u'6.01 x 6.09 x 3.89', u'label': u'6.01 x 6.09 x 3.89 mm'}]",False,[u'Excellent'],2800,"[u'$3,077']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09461864'],[u'Very Good'],[u'58.0']
8,[u'0.71'],[u'VS1'],[u'F'],[u'None'],"[{u'labelSmall': u'Ideal', u'label': u'Ideal'}]",[u'Jan 31'],[u'Feb 1'],[u'60.3'],./diamond-details/LD09547653,[u'Medium'],[True],LD09547653,[u'1.00'],"[{u'labelSmall': u'5.79 x 5.77 x 3.49', u'label': u'5.79 x 5.77 x 3.49 mm'}]",False,[u'Excellent'],2800,"[u'$3,944']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09547653'],[u'Excellent'],[u'60.0']
9,[u'0.80'],[u'SI1'],[u'F'],[u'None'],"[{u'labelSmall': u'Ideal', u'label': u'Ideal'}]",[u'Jan 29'],[u'Jan 30'],[u'62.6'],./diamond-details/LD09747528,[u'Strong'],[True],LD09747528,[u'1.00'],"[{u'labelSmall': u'5.94 x 5.92 x 3.71', u'label': u'5.94 x 5.92 x 3.71 mm'}]",False,[u'Excellent'],2800,"[u'$3,500']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09747528'],[u'Excellent'],[u'58.0']
10,[u'0.70'],[u'VS2'],[u'G'],[u'None'],"[{u'labelSmall': u'Ideal', u'label': u'Ideal'}]",[u'Jan 31'],[u'Feb 1'],[u'58.9'],./diamond-details/LD09765716,[u'None'],[False],LD09765716,[u'1.00'],"[{u'labelSmall': u'5.85 x 5.83 x 3.44', u'label': u'5.85 x 5.83 x 3.44 mm'}]",False,[u'Excellent'],2800,"[u'$4,000']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09765716'],[u'Very Good'],[u'61.0']
11,[u'0.70'],[u'VVS1'],[u'E'],[u'None'],"[{u'labelSmall': u'Very Good', u'label': u'Very Good'}]",[u'Feb 2'],[u'Feb 5'],[u'64.2'],./diamond-details/LD09856396,[u'Medium'],[True],LD09856396,[u'1.01'],"[{u'labelSmall': u'5.55 x 5.51 x 3.55', u'label': u'5.55 x 5.51 x 3.55 mm'}]",False,[u'Very Good'],2800,"[u'$4,000']",[u'RD'],[u'Round'],[u'Call'],[u'Call'],[u'LD09856396'],[u'Very Good'],[u'57.0']
